Date,Consumer Items,Values
1/10/2016,Wholemeal Bread (Per 400 Gram),2.04
1/11/2016,Wholemeal Bread (Per 400 Gram),2.04
1/12/2016,Wholemeal Bread (Per 400 Gram),2.04
1/1/2017,Wholemeal Bread (Per 400 Gram),2.04
1/2/2017,Wholemeal Bread (Per 400 Gram),2.04
1/3/2017,Wholemeal Bread (Per 400 Gram),2.04
1/4/2017,Wholemeal Bread (Per 400 Gram),2.03
1/5/2017,Wholemeal Bread (Per 400 Gram),2.04
1/6/2017,Wholemeal Bread (Per 400 Gram),2.04
1/7/2017,Wholemeal Bread (Per 400 Gram),2.04
1/8/2017,Wholemeal Bread (Per 400 Gram),2.03
1/9/2017,Wholemeal Bread (Per 400 Gram),2.04
1/10/2017,Wholemeal Bread (Per 400 Gram),2.04
1/11/2017,Wholemeal Bread (Per 400 Gram),2.04
1/12/2017,Wholemeal Bread (Per 400 Gram),2.03
1/1/2018,Wholemeal Bread (Per 400 Gram),1.92
1/2/2018,Wholemeal Bread (Per 400 Gram),1.94
1/3/2018,Wholemeal Bread (Per 400 Gram),2.03
1/4/2018,Wholemeal Bread (Per 400 Gram),2.04
1/5/2018,Wholemeal Bread (Per 400 Gram),2.05
1/6/2018,Wholemeal Bread (Per 400 Gram),2.05
1/7/2018,Wholemeal Bread (Per 400 Gram),2.04
1/8/2018,Wholemeal Bread (Per 400 Gram),2.05
1/9/2018,Wholemeal Bread (Per 400 Gram),2.05
1/10/2018,Wholemeal Bread (Per 400 Gram),2.05
1/11/2018,Wholemeal Bread (Per 400 Gram),2.05
1/12/2018,Wholemeal Bread (Per 400 Gram),2.05
1/1/2019,Wholemeal Bread (Per 400 Gram),2.14
1/2/2019,Wholemeal Bread (Per 400 Gram),2.07
1/3/2019,Wholemeal Bread (Per 400 Gram),2.14
1/4/2019,Wholemeal Bread (Per 400 Gram),2.14
1/5/2019,Wholemeal Bread (Per 400 Gram),2.03
1/6/2019,Wholemeal Bread (Per 400 Gram),2.04
1/7/2019,Wholemeal Bread (Per 400 Gram),2.02
1/8/2019,Wholemeal Bread (Per 400 Gram),2.12
1/9/2019,Wholemeal Bread (Per 400 Gram),2.02
1/10/2019,Wholemeal Bread (Per 400 Gram),2.02
1/11/2019,Wholemeal Bread (Per 400 Gram),2.03
1/12/2019,Wholemeal Bread (Per 400 Gram),2.12
1/1/2020,Wholemeal Bread (Per 400 Gram),2.13
1/2/2020,Wholemeal Bread (Per 400 Gram),2.12
1/3/2020,Wholemeal Bread (Per 400 Gram),2.11
1/4/2020,Wholemeal Bread (Per 400 Gram),2.13
1/5/2020,Wholemeal Bread (Per 400 Gram),2.11
1/6/2020,Wholemeal Bread (Per 400 Gram),2.11
1/7/2020,Wholemeal Bread (Per 400 Gram),2.13
1/8/2020,Wholemeal Bread (Per 400 Gram),2.03
1/9/2020,Wholemeal Bread (Per 400 Gram),2.02
1/10/2020,Wholemeal Bread (Per 400 Gram),2.11
1/11/2020,Wholemeal Bread (Per 400 Gram),2.1
1/12/2020,Wholemeal Bread (Per 400 Gram),2.1
1/1/2021,Wholemeal Bread (Per 400 Gram),2.1
1/2/2021,Wholemeal Bread (Per 400 Gram),2.03
1/3/2021,Wholemeal Bread (Per 400 Gram),2.03
1/4/2021,Wholemeal Bread (Per 400 Gram),2.07
1/5/2021,Wholemeal Bread (Per 400 Gram),2.11
1/6/2021,Wholemeal Bread (Per 400 Gram),2.11
1/7/2021,Wholemeal Bread (Per 400 Gram),2.11
1/8/2021,Wholemeal Bread (Per 400 Gram),2.11
1/9/2021,Wholemeal Bread (Per 400 Gram),2.13
1/10/2021,Wholemeal Bread (Per 400 Gram),2.13
1/11/2021,Wholemeal Bread (Per 400 Gram),2.13
1/12/2021,Wholemeal Bread (Per 400 Gram),2.13
1/1/2022,Wholemeal Bread (Per 400 Gram),2.13
1/2/2022,Wholemeal Bread (Per 400 Gram),2.13
1/3/2022,Wholemeal Bread (Per 400 Gram),2.15
1/4/2022,Wholemeal Bread (Per 400 Gram),2.09
1/5/2022,Wholemeal Bread (Per 400 Gram),2.09
1/6/2022,Wholemeal Bread (Per 400 Gram),2.15
1/7/2022,Wholemeal Bread (Per 400 Gram),2.19
1/8/2022,Wholemeal Bread (Per 400 Gram),2.23
1/9/2022,Wholemeal Bread (Per 400 Gram),2.23
1/10/2022,Wholemeal Bread (Per 400 Gram),2.26
1/11/2022,Wholemeal Bread (Per 400 Gram),2.28
1/12/2022,Wholemeal Bread (Per 400 Gram),2.34
1/1/2014,"Whole Chicken, Chilled (Per Kilogram)",6.3
1/2/2014,"Whole Chicken, Chilled (Per Kilogram)",6.31
1/3/2014,"Whole Chicken, Chilled (Per Kilogram)",6.35
1/4/2014,"Whole Chicken, Chilled (Per Kilogram)",6.07
1/5/2014,"Whole Chicken, Chilled (Per Kilogram)",6.05
1/6/2014,"Whole Chicken, Chilled (Per Kilogram)",6.05
1/7/2014,"Whole Chicken, Chilled (Per Kilogram)",6.09
1/8/2014,"Whole Chicken, Chilled (Per Kilogram)",6.07
1/9/2014,"Whole Chicken, Chilled (Per Kilogram)",6.09
1/10/2014,"Whole Chicken, Chilled (Per Kilogram)",6.09
1/11/2014,"Whole Chicken, Chilled (Per Kilogram)",6.1
1/12/2014,"Whole Chicken, Chilled (Per Kilogram)",6.14
1/1/2015,"Whole Chicken, Chilled (Per Kilogram)",6.14
1/2/2015,"Whole Chicken, Chilled (Per Kilogram)",6.27
1/3/2015,"Whole Chicken, Chilled (Per Kilogram)",6.15
1/4/2015,"Whole Chicken, Chilled (Per Kilogram)",6.05
1/5/2015,"Whole Chicken, Chilled (Per Kilogram)",6.17
1/6/2015,"Whole Chicken, Chilled (Per Kilogram)",6.11
1/7/2015,"Whole Chicken, Chilled (Per Kilogram)",5.96
1/8/2015,"Whole Chicken, Chilled (Per Kilogram)",5.94
1/9/2015,"Whole Chicken, Chilled (Per Kilogram)",6.08
1/10/2015,"Whole Chicken, Chilled (Per Kilogram)",6.1
1/11/2015,"Whole Chicken, Chilled (Per Kilogram)",6.16
1/12/2015,"Whole Chicken, Chilled (Per Kilogram)",6.14
1/1/2016,"Whole Chicken, Chilled (Per Kilogram)",6.41
1/2/2016,"Whole Chicken, Chilled (Per Kilogram)",6.29
1/3/2016,"Whole Chicken, Chilled (Per Kilogram)",6.27
1/4/2016,"Whole Chicken, Chilled (Per Kilogram)",6.22
1/5/2016,"Whole Chicken, Chilled (Per Kilogram)",6.29
1/6/2016,"Whole Chicken, Chilled (Per Kilogram)",6.2
1/7/2016,"Whole Chicken, Chilled (Per Kilogram)",6.23
1/8/2016,"Whole Chicken, Chilled (Per Kilogram)",6.28
1/9/2016,"Whole Chicken, Chilled (Per Kilogram)",6.51
1/10/2016,"Whole Chicken, Chilled (Per Kilogram)",6.46
1/11/2016,"Whole Chicken, Chilled (Per Kilogram)",6.49
1/12/2016,"Whole Chicken, Chilled (Per Kilogram)",6.49
1/1/2017,"Whole Chicken, Chilled (Per Kilogram)",6.54
1/2/2017,"Whole Chicken, Chilled (Per Kilogram)",6.56
1/3/2017,"Whole Chicken, Chilled (Per Kilogram)",6.56
1/4/2017,"Whole Chicken, Chilled (Per Kilogram)",6.53
1/5/2017,"Whole Chicken, Chilled (Per Kilogram)",6.62
1/6/2017,"Whole Chicken, Chilled (Per Kilogram)",6.62
1/7/2017,"Whole Chicken, Chilled (Per Kilogram)",6.62
1/8/2017,"Whole Chicken, Chilled (Per Kilogram)",6.58
1/9/2017,"Whole Chicken, Chilled (Per Kilogram)",6.63
1/10/2017,"Whole Chicken, Chilled (Per Kilogram)",6.58
1/11/2017,"Whole Chicken, Chilled (Per Kilogram)",6.57
1/12/2017,"Whole Chicken, Chilled (Per Kilogram)",6.53
1/1/2018,"Whole Chicken, Chilled (Per Kilogram)",6.57
1/2/2018,"Whole Chicken, Chilled (Per Kilogram)",6.47
1/3/2018,"Whole Chicken, Chilled (Per Kilogram)",6.44
1/4/2018,"Whole Chicken, Chilled (Per Kilogram)",6.45
1/5/2018,"Whole Chicken, Chilled (Per Kilogram)",6.43
1/6/2018,"Whole Chicken, Chilled (Per Kilogram)",6.44
1/7/2018,"Whole Chicken, Chilled (Per Kilogram)",6.45
1/8/2018,"Whole Chicken, Chilled (Per Kilogram)",6.26
1/9/2018,"Whole Chicken, Chilled (Per Kilogram)",6.49
1/10/2018,"Whole Chicken, Chilled (Per Kilogram)",6.45
1/11/2018,"Whole Chicken, Chilled (Per Kilogram)",6.3
1/12/2018,"Whole Chicken, Chilled (Per Kilogram)",6.47
1/1/2019,"Whole Chicken, Chilled (Per Kilogram)",6.43
1/2/2019,"Whole Chicken, Chilled (Per Kilogram)",6.32
1/3/2019,"Whole Chicken, Chilled (Per Kilogram)",6.39
1/4/2019,"Whole Chicken, Chilled (Per Kilogram)",6.38
1/5/2019,"Whole Chicken, Chilled (Per Kilogram)",6.23
1/6/2019,"Whole Chicken, Chilled (Per Kilogram)",6.38
1/7/2019,"Whole Chicken, Chilled (Per Kilogram)",6.3
1/8/2019,"Whole Chicken, Chilled (Per Kilogram)",6.37
1/9/2019,"Whole Chicken, Chilled (Per Kilogram)",6.37
1/10/2019,"Whole Chicken, Chilled (Per Kilogram)",6.33
1/11/2019,"Whole Chicken, Chilled (Per Kilogram)",6.39
1/12/2019,"Whole Chicken, Chilled (Per Kilogram)",6.38
1/1/2020,"Whole Chicken, Chilled (Per Kilogram)",6.29
1/2/2020,"Whole Chicken, Chilled (Per Kilogram)",6.35
1/3/2020,"Whole Chicken, Chilled (Per Kilogram)",6.36
1/4/2020,"Whole Chicken, Chilled (Per Kilogram)",6.32
1/5/2020,"Whole Chicken, Chilled (Per Kilogram)",6.32
1/6/2020,"Whole Chicken, Chilled (Per Kilogram)",6.32
1/7/2020,"Whole Chicken, Chilled (Per Kilogram)",6.27
1/8/2020,"Whole Chicken, Chilled (Per Kilogram)",6.25
1/9/2020,"Whole Chicken, Chilled (Per Kilogram)",6.31
1/10/2020,"Whole Chicken, Chilled (Per Kilogram)",6.38
1/11/2020,"Whole Chicken, Chilled (Per Kilogram)",6.37
1/12/2020,"Whole Chicken, Chilled (Per Kilogram)",6.35
1/1/2021,"Whole Chicken, Chilled (Per Kilogram)",6.35
1/2/2021,"Whole Chicken, Chilled (Per Kilogram)",6.4
1/3/2021,"Whole Chicken, Chilled (Per Kilogram)",6.37
1/4/2021,"Whole Chicken, Chilled (Per Kilogram)",6.31
1/5/2021,"Whole Chicken, Chilled (Per Kilogram)",6.34
1/6/2021,"Whole Chicken, Chilled (Per Kilogram)",6.31
1/7/2021,"Whole Chicken, Chilled (Per Kilogram)",6.33
1/8/2021,"Whole Chicken, Chilled (Per Kilogram)",6.32
1/9/2021,"Whole Chicken, Chilled (Per Kilogram)",6.35
1/10/2021,"Whole Chicken, Chilled (Per Kilogram)",6.31
1/11/2021,"Whole Chicken, Chilled (Per Kilogram)",6.35
1/12/2021,"Whole Chicken, Chilled (Per Kilogram)",6.38
1/1/2022,"Whole Chicken, Chilled (Per Kilogram)",6.5
1/2/2022,"Whole Chicken, Chilled (Per Kilogram)",6.55
1/3/2022,"Whole Chicken, Chilled (Per Kilogram)",6.6
1/4/2022,"Whole Chicken, Chilled (Per Kilogram)",7.21
1/5/2022,"Whole Chicken, Chilled (Per Kilogram)",7.22
1/6/2022,"Whole Chicken, Chilled (Per Kilogram)",8.39
1/7/2022,"Whole Chicken, Chilled (Per Kilogram)",8.5
1/8/2022,"Whole Chicken, Chilled (Per Kilogram)",8.56
1/9/2022,"Whole Chicken, Chilled (Per Kilogram)",8.59
1/10/2022,"Whole Chicken, Chilled (Per Kilogram)",9.36
1/11/2022,"Whole Chicken, Chilled (Per Kilogram)",8.92
1/12/2022,"Whole Chicken, Chilled (Per Kilogram)",8.91
1/1/2014,White Sugar (Per 2 Kilogram),3.18
1/2/2014,White Sugar (Per 2 Kilogram),3.12
1/3/2014,White Sugar (Per 2 Kilogram),3.2
1/4/2014,White Sugar (Per 2 Kilogram),3.17
1/5/2014,White Sugar (Per 2 Kilogram),3.18
1/6/2014,White Sugar (Per 2 Kilogram),3.2
1/7/2014,White Sugar (Per 2 Kilogram),3.08
1/8/2014,White Sugar (Per 2 Kilogram),3.2
1/9/2014,White Sugar (Per 2 Kilogram),3.22
1/10/2014,White Sugar (Per 2 Kilogram),3.27
1/11/2014,White Sugar (Per 2 Kilogram),3.26
1/12/2014,White Sugar (Per 2 Kilogram),3.26
1/1/2015,White Sugar (Per 2 Kilogram),3.21
1/2/2015,White Sugar (Per 2 Kilogram),3.21
1/3/2015,White Sugar (Per 2 Kilogram),3.27
1/4/2015,White Sugar (Per 2 Kilogram),3.2
1/5/2015,White Sugar (Per 2 Kilogram),3.22
1/6/2015,White Sugar (Per 2 Kilogram),3.24
1/7/2015,White Sugar (Per 2 Kilogram),2.98
1/8/2015,White Sugar (Per 2 Kilogram),2.92
1/9/2015,White Sugar (Per 2 Kilogram),2.97
1/10/2015,White Sugar (Per 2 Kilogram),3.09
1/11/2015,White Sugar (Per 2 Kilogram),3.1
1/12/2015,White Sugar (Per 2 Kilogram),3.1
1/1/2016,White Sugar (Per 2 Kilogram),3.04
1/2/2016,White Sugar (Per 2 Kilogram),3.05
1/3/2016,White Sugar (Per 2 Kilogram),3.17
1/4/2016,White Sugar (Per 2 Kilogram),3.17
1/5/2016,White Sugar (Per 2 Kilogram),3.17
1/6/2016,White Sugar (Per 2 Kilogram),3.14
1/7/2016,White Sugar (Per 2 Kilogram),3.01
1/8/2016,White Sugar (Per 2 Kilogram),2.97
1/9/2016,White Sugar (Per 2 Kilogram),3.1
1/10/2016,White Sugar (Per 2 Kilogram),3.11
1/11/2016,White Sugar (Per 2 Kilogram),3.11
1/12/2016,White Sugar (Per 2 Kilogram),3
1/1/2017,White Sugar (Per 2 Kilogram),3.05
1/2/2017,White Sugar (Per 2 Kilogram),3.12
1/3/2017,White Sugar (Per 2 Kilogram),3.19
1/4/2017,White Sugar (Per 2 Kilogram),3.2
1/5/2017,White Sugar (Per 2 Kilogram),3.08
1/6/2017,White Sugar (Per 2 Kilogram),3.12
1/7/2017,White Sugar (Per 2 Kilogram),3.11
1/8/2017,White Sugar (Per 2 Kilogram),3.21
1/9/2017,White Sugar (Per 2 Kilogram),3.22
1/10/2017,White Sugar (Per 2 Kilogram),3.27
1/11/2017,White Sugar (Per 2 Kilogram),3.32
1/12/2017,White Sugar (Per 2 Kilogram),3.32
1/1/2018,White Sugar (Per 2 Kilogram),3.26
1/2/2018,White Sugar (Per 2 Kilogram),3.25
1/3/2018,White Sugar (Per 2 Kilogram),3.32
1/4/2018,White Sugar (Per 2 Kilogram),3.32
1/5/2018,White Sugar (Per 2 Kilogram),3.27
1/6/2018,White Sugar (Per 2 Kilogram),3.3
1/7/2018,White Sugar (Per 2 Kilogram),3.29
1/8/2018,White Sugar (Per 2 Kilogram),3.08
1/9/2018,White Sugar (Per 2 Kilogram),3.11
1/10/2018,White Sugar (Per 2 Kilogram),3.14
1/11/2018,White Sugar (Per 2 Kilogram),3.14
1/12/2018,White Sugar (Per 2 Kilogram),3.11
1/1/2019,White Sugar (Per 2 Kilogram),2.98
1/2/2019,White Sugar (Per 2 Kilogram),2.94
1/3/2019,White Sugar (Per 2 Kilogram),3.14
1/4/2019,White Sugar (Per 2 Kilogram),3.14
1/5/2019,White Sugar (Per 2 Kilogram),2.94
1/6/2019,White Sugar (Per 2 Kilogram),3.01
1/7/2019,White Sugar (Per 2 Kilogram),3.04
1/8/2019,White Sugar (Per 2 Kilogram),3.02
1/9/2019,White Sugar (Per 2 Kilogram),3.1
1/10/2019,White Sugar (Per 2 Kilogram),3.11
1/11/2019,White Sugar (Per 2 Kilogram),3.08
1/12/2019,White Sugar (Per 2 Kilogram),3.05
1/1/2020,White Sugar (Per 2 Kilogram),3.1
1/2/2020,White Sugar (Per 2 Kilogram),3.12
1/3/2020,White Sugar (Per 2 Kilogram),3.16
1/4/2020,White Sugar (Per 2 Kilogram),3.16
1/5/2020,White Sugar (Per 2 Kilogram),3.12
1/6/2020,White Sugar (Per 2 Kilogram),3.12
1/7/2020,White Sugar (Per 2 Kilogram),3.03
1/8/2020,White Sugar (Per 2 Kilogram),3.02
1/9/2020,White Sugar (Per 2 Kilogram),3.02
1/10/2020,White Sugar (Per 2 Kilogram),3.04
1/11/2020,White Sugar (Per 2 Kilogram),3.04
1/12/2020,White Sugar (Per 2 Kilogram),3.03
1/1/2021,White Sugar (Per 2 Kilogram),3.04
1/2/2021,White Sugar (Per 2 Kilogram),3.03
1/3/2021,White Sugar (Per 2 Kilogram),3.04
1/4/2021,White Sugar (Per 2 Kilogram),3.03
1/5/2021,White Sugar (Per 2 Kilogram),3.09
1/6/2021,White Sugar (Per 2 Kilogram),3.09
1/7/2021,White Sugar (Per 2 Kilogram),3.08
1/8/2021,White Sugar (Per 2 Kilogram),3.09
1/9/2021,White Sugar (Per 2 Kilogram),3.09
1/10/2021,White Sugar (Per 2 Kilogram),3.08
1/11/2021,White Sugar (Per 2 Kilogram),3.12
1/12/2021,White Sugar (Per 2 Kilogram),3.11
1/1/2022,White Sugar (Per 2 Kilogram),3.11
1/2/2022,White Sugar (Per 2 Kilogram),3.12
1/3/2022,White Sugar (Per 2 Kilogram),3.11
1/4/2022,White Sugar (Per 2 Kilogram),3.12
1/5/2022,White Sugar (Per 2 Kilogram),3.11
1/6/2022,White Sugar (Per 2 Kilogram),3.12
1/7/2022,White Sugar (Per 2 Kilogram),3.12
1/8/2022,White Sugar (Per 2 Kilogram),3.11
1/9/2022,White Sugar (Per 2 Kilogram),3.12
1/10/2022,White Sugar (Per 2 Kilogram),3.18
1/11/2022,White Sugar (Per 2 Kilogram),3.31
1/12/2022,White Sugar (Per 2 Kilogram),3.33
1/1/2014,White Pomfret (Per Kilogram),30.14
1/2/2014,White Pomfret (Per Kilogram),25.98
1/3/2014,White Pomfret (Per Kilogram),24.39
1/4/2014,White Pomfret (Per Kilogram),24.03
1/5/2014,White Pomfret (Per Kilogram),23.9
1/6/2014,White Pomfret (Per Kilogram),24.36
1/7/2014,White Pomfret (Per Kilogram),24.53
1/8/2014,White Pomfret (Per Kilogram),25.33
1/9/2014,White Pomfret (Per Kilogram),24.42
1/10/2014,White Pomfret (Per Kilogram),24.6
1/11/2014,White Pomfret (Per Kilogram),24.03
1/12/2014,White Pomfret (Per Kilogram),24.52
1/1/2015,White Pomfret (Per Kilogram),25.09
1/2/2015,White Pomfret (Per Kilogram),30.89
1/3/2015,White Pomfret (Per Kilogram),25.64
1/4/2015,White Pomfret (Per Kilogram),24.44
1/5/2015,White Pomfret (Per Kilogram),25.02
1/6/2015,White Pomfret (Per Kilogram),25.36
1/7/2015,White Pomfret (Per Kilogram),26.14
1/8/2015,White Pomfret (Per Kilogram),26.64
1/9/2015,White Pomfret (Per Kilogram),26.2
1/10/2015,White Pomfret (Per Kilogram),26.84
1/11/2015,White Pomfret (Per Kilogram),25.87
1/12/2015,White Pomfret (Per Kilogram),27.3
1/1/2016,White Pomfret (Per Kilogram),30.45
1/2/2016,White Pomfret (Per Kilogram),28.98
1/3/2016,White Pomfret (Per Kilogram),26.81
1/4/2016,White Pomfret (Per Kilogram),26.08
1/5/2016,White Pomfret (Per Kilogram),27.08
1/6/2016,White Pomfret (Per Kilogram),27.49
1/7/2016,White Pomfret (Per Kilogram),28.07
1/8/2016,White Pomfret (Per Kilogram),27.92
1/9/2016,White Pomfret (Per Kilogram),27.23
1/10/2016,White Pomfret (Per Kilogram),27.59
1/11/2016,White Pomfret (Per Kilogram),27.41
1/12/2016,White Pomfret (Per Kilogram),26.75
1/1/2017,White Pomfret (Per Kilogram),33.18
1/2/2017,White Pomfret (Per Kilogram),28.52
1/3/2017,White Pomfret (Per Kilogram),27.51
1/4/2017,White Pomfret (Per Kilogram),27.22
1/5/2017,White Pomfret (Per Kilogram),28.24
1/6/2017,White Pomfret (Per Kilogram),28.29
1/7/2017,White Pomfret (Per Kilogram),29.85
1/8/2017,White Pomfret (Per Kilogram),29.19
1/9/2017,White Pomfret (Per Kilogram),28.15
1/10/2017,White Pomfret (Per Kilogram),27.69
1/11/2017,White Pomfret (Per Kilogram),27.53
1/12/2017,White Pomfret (Per Kilogram),28.93
1/1/2018,White Pomfret (Per Kilogram),30.16
1/2/2018,White Pomfret (Per Kilogram),35.28
1/3/2018,White Pomfret (Per Kilogram),28.52
1/4/2018,White Pomfret (Per Kilogram),29.08
1/5/2018,White Pomfret (Per Kilogram),28.65
1/6/2018,White Pomfret (Per Kilogram),30.06
1/7/2018,White Pomfret (Per Kilogram),30.36
1/8/2018,White Pomfret (Per Kilogram),28.34
1/9/2018,White Pomfret (Per Kilogram),29.82
1/10/2018,White Pomfret (Per Kilogram),29.04
1/11/2018,White Pomfret (Per Kilogram),28.43
1/12/2018,White Pomfret (Per Kilogram),28.36
1/1/2019,White Pomfret (Per Kilogram),30.47
1/2/2019,White Pomfret (Per Kilogram),30.56
1/3/2019,White Pomfret (Per Kilogram),29.78
1/4/2019,White Pomfret (Per Kilogram),27.23
1/5/2019,White Pomfret (Per Kilogram),28.56
1/6/2019,White Pomfret (Per Kilogram),28.41
1/7/2019,White Pomfret (Per Kilogram),29.66
1/8/2019,White Pomfret (Per Kilogram),28.88
1/9/2019,White Pomfret (Per Kilogram),29.13
1/10/2019,White Pomfret (Per Kilogram),28.36
1/11/2019,White Pomfret (Per Kilogram),28.3
1/12/2019,White Pomfret (Per Kilogram),29.4
1/1/2020,White Pomfret (Per Kilogram),36.08
1/2/2020,White Pomfret (Per Kilogram),32.67
1/3/2020,White Pomfret (Per Kilogram),28.81
1/4/2020,White Pomfret (Per Kilogram),28.82
1/5/2020,White Pomfret (Per Kilogram),28.89
1/6/2020,White Pomfret (Per Kilogram),28.94
1/7/2020,White Pomfret (Per Kilogram),29.25
1/8/2020,White Pomfret (Per Kilogram),29.03
1/9/2020,White Pomfret (Per Kilogram),30.3
1/10/2020,White Pomfret (Per Kilogram),31.22
1/11/2020,White Pomfret (Per Kilogram),28.5
1/12/2020,White Pomfret (Per Kilogram),29.31
1/1/2021,White Pomfret (Per Kilogram),30.95
1/2/2021,White Pomfret (Per Kilogram),33.03
1/3/2021,White Pomfret (Per Kilogram),27.13
1/4/2021,White Pomfret (Per Kilogram),26.25
1/5/2021,White Pomfret (Per Kilogram),28.98
1/6/2021,White Pomfret (Per Kilogram),29.39
1/7/2021,White Pomfret (Per Kilogram),29.34
1/8/2021,White Pomfret (Per Kilogram),30.67
1/9/2021,White Pomfret (Per Kilogram),28.49
1/10/2021,White Pomfret (Per Kilogram),27.66
1/11/2021,White Pomfret (Per Kilogram),28.65
1/12/2021,White Pomfret (Per Kilogram),29.96
1/1/2022,White Pomfret (Per Kilogram),36.57
1/2/2022,White Pomfret (Per Kilogram),33.9
1/3/2022,White Pomfret (Per Kilogram),32.79
1/4/2022,White Pomfret (Per Kilogram),32.83
1/5/2022,White Pomfret (Per Kilogram),34.17
1/6/2022,White Pomfret (Per Kilogram),34.12
1/7/2022,White Pomfret (Per Kilogram),31.68
1/8/2022,White Pomfret (Per Kilogram),31.32
1/9/2022,White Pomfret (Per Kilogram),30.46
1/10/2022,White Pomfret (Per Kilogram),30.37
1/11/2022,White Pomfret (Per Kilogram),31.26
1/12/2022,White Pomfret (Per Kilogram),31.82
1/1/2014,Watermelon (Per Kilogram),1.66
1/2/2014,Watermelon (Per Kilogram),1.71
1/3/2014,Watermelon (Per Kilogram),1.66
1/4/2014,Watermelon (Per Kilogram),1.71
1/5/2014,Watermelon (Per Kilogram),1.62
1/6/2014,Watermelon (Per Kilogram),1.62
1/7/2014,Watermelon (Per Kilogram),1.65
1/8/2014,Watermelon (Per Kilogram),1.69
1/9/2014,Watermelon (Per Kilogram),1.62
1/10/2014,Watermelon (Per Kilogram),1.64
1/11/2014,Watermelon (Per Kilogram),1.56
1/12/2014,Watermelon (Per Kilogram),1.68
1/1/2015,Watermelon (Per Kilogram),1.79
1/2/2015,Watermelon (Per Kilogram),1.83
1/3/2015,Watermelon (Per Kilogram),1.63
1/4/2015,Watermelon (Per Kilogram),1.66
1/5/2015,Watermelon (Per Kilogram),1.56
1/6/2015,Watermelon (Per Kilogram),1.58
1/7/2015,Watermelon (Per Kilogram),1.61
1/8/2015,Watermelon (Per Kilogram),1.64
1/9/2015,Watermelon (Per Kilogram),1.67
1/10/2015,Watermelon (Per Kilogram),1.55
1/11/2015,Watermelon (Per Kilogram),1.41
1/12/2015,Watermelon (Per Kilogram),1.4
1/1/2016,Watermelon (Per Kilogram),1.54
1/2/2016,Watermelon (Per Kilogram),1.43
1/3/2016,Watermelon (Per Kilogram),1.4
1/4/2016,Watermelon (Per Kilogram),1.53
1/5/2016,Watermelon (Per Kilogram),1.53
1/6/2016,Watermelon (Per Kilogram),1.54
1/7/2016,Watermelon (Per Kilogram),1.6
1/8/2016,Watermelon (Per Kilogram),1.62
1/9/2016,Watermelon (Per Kilogram),1.59
1/10/2016,Watermelon (Per Kilogram),1.49
1/11/2016,Watermelon (Per Kilogram),1.43
1/12/2016,Watermelon (Per Kilogram),1.51
1/1/2017,Watermelon (Per Kilogram),1.54
1/2/2017,Watermelon (Per Kilogram),1.57
1/3/2017,Watermelon (Per Kilogram),1.52
1/4/2017,Watermelon (Per Kilogram),1.48
1/5/2017,Watermelon (Per Kilogram),1.48
1/6/2017,Watermelon (Per Kilogram),1.53
1/7/2017,Watermelon (Per Kilogram),1.54
1/8/2017,Watermelon (Per Kilogram),1.56
1/9/2017,Watermelon (Per Kilogram),1.64
1/10/2017,Watermelon (Per Kilogram),1.63
1/11/2017,Watermelon (Per Kilogram),1.59
1/12/2017,Watermelon (Per Kilogram),1.56
1/1/2018,Watermelon (Per Kilogram),1.53
