Country,Year,Yield,Production
Philippines,1991,28243,9673260
Philippines,1992,29388,9513000
Philippines,1993,28742,9434210
Philippines,1994,28866,10540600
Philippines,1995,28043,10540600
Philippines,1996,28558,11283600
Philippines,1997,29326,11268000
Philippines,1998,26984,8554000
Philippines,1999,29468,11786600
Philippines,2000,30681,12389400
Philippines,2001,31866,12954900
Philippines,2002,32797,13270700
Philippines,2003,33696,13499900
Philippines,2004,35130,14496800
Philippines,2005,35876,14603000
Philippines,2006,36844,15326700
Philippines,2007,38008,16240200
Philippines,2008,37703,16815500
Philippines,2009,35890,16266400
Philippines,2010,36222,15771700
SriLanka,1961,18626,923024
SriLanka,1962,19539,1029190
SriLanka,1963,19547,1045910
SriLanka,1964,19962,1074050
SriLanka,1965,17696,764158
SriLanka,1966,18365,980746
SriLanka,1967,21259,1158150
SriLanka,1968,23968,1359540
SriLanka,1969,25654,1375960
SriLanka,1970,22485,1615930
SriLanka,1971,20119,1395780
SriLanka,1972,20540,1312450
SriLanka,1973,19539,1312420
SriLanka,1974,20104,1602310
SriLanka,1975,19325,1154160
SriLanka,1976,19712,1252620
SriLanka,1977,21441,1677290
SriLanka,1978,22521,1890490
SriLanka,1979,24282,1917220
SriLanka,1980,25897,2133200
SriLanka,1981,26462,2229350
SriLanka,1982,28896,2155630
SriLanka,1983,31977,2483530
SriLanka,1984,27316,2419700
SriLanka,1985,30777,2661210
SriLanka,1986,30944,2588180
SriLanka,1987,31318,2127830
SriLanka,1988,30367,2476610
SriLanka,1989,29916,2063440
SriLanka,1990,30643,2538000
SriLanka,1991,30215,2389000
SriLanka,1992,30544,2339700
SriLanka,1993,31350,2570000
SriLanka,1994,29933,2683690
SriLanka,1995,31586,2809890
SriLanka,1996,31231,2061520
SriLanka,1997,32451,2239370
SriLanka,1998,35102,2692340
SriLanka,1999,32810,2857100
SriLanka,2000,34374,2859900
SriLanka,2001,35228,2695080
SriLanka,2002,34889,2859480
SriLanka,2003,33696,3071200
SriLanka,2004,36516,2628000
SriLanka,2005,35465,3246000
SriLanka,2006,36705,3342000
SriLanka,2007,38337,3131000
SriLanka,2008,36800,3875000
SriLanka,2009,37374,3652000
SriLanka,2010,40558,4300620
Thailand,1961,16585,10150000
Thailand,1962,17202,11250000
Thailand,1963,18725,12171000
Thailand,1964,18384,11600000
Thailand,1965,17805,11164000
Thailand,1966,18360,13500000
Thailand,1967,17497,11198000
Thailand,1968,17882,12410000
Thailand,1969,18474,13410000
Thailand,1970,20207,13850000
Thailand,1971,19369,13744000
Thailand,1972,18308,12413000
Thailand,1973,19242,14899000
Thailand,1974,18254,13386000
Thailand,1975,18308,15300000
Thailand,1976,18450,15068000
Thailand,1977,15910,13921000
Thailand,1978,19552,17470000
Thailand,1979,18209,15758000
Thailand,1980,18878,17368100
Thailand,1981,19521,17774300
Thailand,1982,18880,16878500
Thailand,1983,20351,19548900
Thailand,1984,20670,19904800
Thailand,1985,20608,20263900
Thailand,1986,20522,18868200
Thailand,1987,20147,18428300
Thailand,1988,21465,21262900
Thailand,1989,20853,20601000
Thailand,1990,19556,17193200
Thailand,1991,22534,20400000
Thailand,1992,21744,19917000
Thailand,1993,21700,19530000
Thailand,1994,23521,21111000
Thailand,1995,24158,22015500
Thailand,1996,24097,22331600
Thailand,1997,23787,23580000
Thailand,1998,24654,23450000
Thailand,1999,24245,24172000
Thailand,2000,26128,25843900
Thailand,2001,27687,28033700
Thailand,2002,28996,27991800
Thailand,2003,28998,29473500
Thailand,2004,28559,28538200
Thailand,2005,29625,30291900
Thailand,2006,29160,29641900
Thailand,2007,30087,32099400
Thailand,2008,29626,31650600
Thailand,2009,28826,32116100
Thailand,2010,28751,31597200
VietNam,1961,18966,8997400
VietNam,1962,19937,9747040
VietNam,1963,21400,9622670
VietNam,1964,19442,9697030
VietNam,1965,19414,9369700
VietNam,1966,18079,8463500
VietNam,1967,19159,9188400
VietNam,1968,17095,8366150
VietNam,1969,17880,8815000
VietNam,1970,21534,10173300
VietNam,1971,22265,10447000
VietNam,1972,21935,10748200
VietNam,1973,22117,11125000
VietNam,1974,21564,11023300
VietNam,1975,21198,10293600
VietNam,1976,22327,11827200
VietNam,1977,19378,10597100
VietNam,1978,17922,9789900
VietNam,1979,20716,11362900
VietNam,1980,20798,11647400
VietNam,1981,21966,12415200
VietNam,1982,25194,14390200
VietNam,1983,26272,14743300
VietNam,1984,27323,15505600
VietNam,1985,27761,15874800
VietNam,1986,28060,16002900
VietNam,1987,26954,15102600
VietNam,1988,29613,17000000
VietNam,1989,32136,18996300
VietNam,1990,31815,19225100
VietNam,1991,31133,19621900
VietNam,1992,33342,21590300
VietNam,1993,34815,22836600
VietNam,1994,35657,23528300
VietNam,1995,36898,24963700
VietNam,1996,37689,26396700
VietNam,1997,38768,27523900
VietNam,1998,39585,29145500
VietNam,1999,41018,31393800
VietNam,2000,42432,32529500
VietNam,2001,42853,32108400
VietNam,2002,45903,34447200
VietNam,2003,46387,34568800
VietNam,2004,48553,36148900
VietNam,2005,48891,35832900
VietNam,2006,48943,35849500
VietNam,2007,49869,35942700
VietNam,2008,52336,38729800
VietNam,2009,52372,38950200
VietNam,2010,53221,39988900
